Account No,DATE,TRANSACTION DETAILS,VALUE DATE,BALANCE AMT,AMOUNT,TYPE,CATEGORY
KZ57163314100,2024-01-01,CHOCOFOOD ORDER,2024-01-01,139977.3,-6891.83,DEBIT,Food & Dining
KZ57163314100,2024-01-02,АЗС SINOOIL FUEL,2024-01-02,217164.28,-14811.17,DEBIT,Transport
KZ57163314100,2024-01-03,СТИПЕНДИЯ + ПОДРАБОТКА,2024-01-03,236216.96,76216.96,CREDIT,Income
KZ57163314100,2024-01-03,GLOVO*ORDER,2024-01-03,206491.26,-10673.02,DEBIT,Food & Dining
KZ57163314100,2024-01-03,CHOCOFOOD ORDER,2024-01-03,92218.97,-3690.06,DEBIT,Food & Dining
KZ57163314100,2024-01-04,АЗС SINOOIL FUEL,2024-01-04,-30211.6,-14411.73,DEBIT,Transport
KZ57163314100,2024-01-07,FLY ARYSTAN,2024-01-07,-51338.6,-18292.07,DEBIT,Transport
KZ57163314100,2024-01-07,WOLT DELIVERY,2024-01-07,-4014.03,-9080.11,DEBIT,Food & Dining
KZ57163314100,2024-01-08,YOUTUBE PREMIUM,2024-01-08,165551.35,-841.5,DEBIT,Entertainment
KZ57163314100,2024-01-09,LOCAL CAFE,2024-01-09,95909.03,-2685.44,DEBIT,Food & Dining
KZ57163314100,2024-01-10,MCDONALDS ALMATY,2024-01-10,23594.77,-3540.62,DEBIT,Food & Dining
KZ57163314100,2024-01-12,WILDBERRIES KZ,2024-01-12,86249.49,-5969.49,DEBIT,Shopping
KZ57163314100,2024-01-13,KFC ALMATY,2024-01-13,18269.19,-5325.59,DEBIT,Food & Dining
KZ57163314100,2024-01-13,ALMATY ENERGO ELECTRIC,2024-01-13,48486.07,-12725.54,DEBIT,Utilities
KZ57163314100,2024-01-14,ЖКХ КОММУНАЛКА,2024-01-14,146869.13,-18139.53,DEBIT,Utilities
KZ57163314100,2024-01-15,TECHNODOM KZ,2024-01-15,61211.61,-18292.07,DEBIT,Shopping
KZ57163314100,2024-01-19,NETFLIX SUBSCRIPTION,2024-01-19,231975.46,-4241.5,DEBIT,Entertainment
KZ57163314100,2024-01-20,KTZ RAILWAY TICKET,2024-01-20,127344.86,-12632.43,DEBIT,Transport
KZ57163314100,2024-01-20,CHOCOFOOD ORDER,2024-01-20,45427.46,-3058.61,DEBIT,Food & Dining
KZ57163314100,2024-01-20,WOLT DELIVERY,2024-01-20,184684.92,-3514.27,DEBIT,Food & Dining
KZ57163314100,2024-01-20,LOCAL CAFE,2024-01-20,124263.39,-3081.47,DEBIT,Food & Dining
KZ57163314100,2024-01-20,UNUSUAL LARGE TRANSACTION,2024-01-20,-134909.51,-76585.14,DEBIT,Other
KZ57163314100,2024-01-20,GLOVO*ORDER,2024-01-20,79503.68,-6745.81,DEBIT,Food & Dining
KZ57163314100,2024-01-21,YANDEX GO RIDE,2024-01-21,165008.67,-542.68,DEBIT,Transport
KZ57163314100,2024-01-21,ЖКХ КОММУНАЛКА,2024-01-21,27135.39,-18292.07,DEBIT,Utilities
KZ57163314100,2024-01-21,BURGER KING KZ,2024-01-21,118687.73,-3244.1,DEBIT,Food & Dining
KZ57163314100,2024-01-23,KASPI SHOP PURCHASE,2024-01-23,-58324.37,-6985.76,DEBIT,Shopping
KZ57163314100,2024-01-23,FLY ARYSTAN,2024-01-23,100395.66,-18292.07,DEBIT,Transport
KZ57163314100,2024-01-23,SMALL SUPERMARKET,2024-01-23,121931.83,-2331.56,DEBIT,Shopping
KZ57163314100,2024-01-24,STEAM GAMES,2024-01-24,188199.19,-18292.07,DEBIT,Entertainment
KZ57163314100,2024-01-24,GLOVO*ORDER,2024-01-24,-15799.87,-11785.84,DEBIT,Food & Dining
KZ57163314100,2024-01-25,METRO CASH AND CARRY,2024-01-25,166392.85,-18292.07,DEBIT,Shopping
KZ57163314100,2024-01-26,KFC ALMATY,2024-01-26,5066.08,-6370.75,DEBIT,Food & Dining
KZ57163314100,2024-01-28,INDRIVE TRIP,2024-01-28,98594.47,-1801.19,DEBIT,Transport
KZ57163314100,2024-01-29,BURGER KING KZ,2024-01-29,-33046.53,-2834.93,DEBIT,Food & Dining
KZ57163314100,2024-01-29,АЗС SINOOIL FUEL,2024-01-29,11436.83,-6832.36,DEBIT,Transport
KZ57163314100,2024-01-31,MCDONALDS ALMATY,2024-01-31,-57626.46,-2867.85,DEBIT,Food & Dining
KZ57163314100,2024-01-31,LOCAL CAFE,2024-01-31,-262730.15,-2082.07,DEBIT,Food & Dining
KZ57163314100,2024-01-31,ALMATY ENERGO ELECTRIC,2024-01-31,-203230.1,-9819.79,DEBIT,Utilities
KZ57163314100,2024-01-31,STEAM GAMES,2024-01-31,-77581.53,-8686.64,DEBIT,Entertainment
KZ57163314100,2024-02-01,CHOCOFOOD ORDER,2024-02-01,-179701.1,-4671.37,DEBIT,Food & Dining
KZ57163314100,2024-02-01,СТИПЕНДИЯ + ПОДРАБОТКА,2024-02-01,-53567.18,81342.32,CREDIT,Income
KZ57163314100,2024-02-03,KTZ RAILWAY TICKET,2024-02-03,-68894.89,-11268.43,DEBIT,Transport
KZ57163314100,2024-02-05,BURGER KING KZ,2024-02-05,-253999.16,-4414.17,DEBIT,Food & Dining
KZ57163314100,2024-02-05,WILDBERRIES KZ,2024-02-05,-222665.05,-19434.95,DEBIT,Shopping
KZ57163314100,2024-02-06,MCDONALDS ALMATY,2024-02-06,-186040.09,-1865.09,DEBIT,Food & Dining
KZ57163314100,2024-02-06,MCDONALDS ALMATY,2024-02-06,-54758.61,-1191.43,DEBIT,Food & Dining
KZ57163314100,2024-02-07,MCDONALDS ALMATY,2024-02-07,-91036.89,-1118.95,DEBIT,Food & Dining
KZ57163314100,2024-02-07,STEAM GAMES,2024-02-07,-193410.31,-7370.22,DEBIT,Entertainment
KZ57163314100,2024-02-08,YOUTUBE PREMIUM,2024-02-08,-171710.82,-841.5,DEBIT,Entertainment
KZ57163314100,2024-02-09,KFC ALMATY,2024-02-09,-89917.94,-1802.71,DEBIT,Food & Dining
KZ57163314100,2024-02-10,CHOCOFOOD ORDER,2024-02-10,-249584.99,-3861.43,DEBIT,Food & Dining
